Movie Name,Poster Image Link,Synopsis,Genre,IMDb_id,Plot Keywords,Storyline,Genre Variations
Baby Driver,"https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_UY209_CR0,0,140,209_AL_.jpg","    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Crime,tt3890160,thin woman pig bacon bare midriff short skirt ,"    Baby is a young and partially hearing impaired getaway driver who can make any wild move while in motion with the right track playing. It's a critical talent he needs to survive his indentured servitude to the crime boss, Doc, who values his role in his meticulously planned robberies. However, just when Baby thinks he is finally free and clear to have his own life with his new girlfriend, Debora, Doc coerces him back for another job. Now saddled with a crew of thugs too violently unstable to keep to Doc's plans, Baby finds himself and everything he cares for in terrible danger. To survive and escape the coming maelstrom, it will take all of Baby's skill, wits and daring, but even on the best track, can he make it when life is forcing him to face the music?",Action Crime Drama 
Neco z Alenky,"https://m.media-amazon.com/images/M/MV5BNGU0MzYxZmQtOTE5My00OTMzLTkyYzItNTA4NThhNzljODMzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",    A surrealistic revision of Alice in Wonderland.,Horror,tt0095715,stop motion animation alice in wonderland parallel worlds name in title child protagonist ,"    A memorably bizarre screen version of Lewis Carroll's novel 'Alice's Adventures in Wonderland', mixing one live actor (Alice) with a large variety of stop-motion animated creatures, ranging from the complex (the White Rabbit) to the incredibly simple (the Caterpillar, consisting of a sock, a couple of glass eyes and a pair of false teeth). The original story is followed reasonably faithfully, though those familiar with this director's other films won't be the least bit surprised by the numerous digressions into Svankmajer territory, living slabs of meat and all. As the opening narration says, it's a film made for children... perhaps?",Animation Adventure Fantasy 
A.I. Artificial Intelligence,"https://m.media-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg","    A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",Adventure,tt0212720,boy future fairy robot fairy tale ,"    In the not-so-far future the polar ice caps have melted and the resulting rise of the ocean waters has drowned all the coastal cities of the world. Withdrawn to the interior of the continents, the human race keeps advancing, reaching the point of creating realistic robots (called mechas) to serve them. One of the mecha-producing companies builds David, an artificial kid which is the first to have real feelings, especially a never-ending love for his ""mother"", Monica. Monica is the woman who adopted him as a substitute for her real son, who remains in cryo-stasis, stricken by an incurable disease. David is living happily with Monica and her husband, but when their real son returns home after a cure is discovered, his life changes dramatically.",Adventure Drama Sci-Fi 
Moon,"https://m.media-amazon.com/images/M/MV5BMTgzODgyNTQwOV5BMl5BanBnXkFtZTcwNzc0NTc0Mg@@._V1_UY209_CR1,0,140,209_AL_.jpg","    Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",Sci-Fi,tt1182345,moon solitude memory minimal cast earth ,"    Sam Bell has a three year contract to work for Lunar Industries. For the contract's entire duration, he is the sole employee based at their lunar station. His primary job responsibility is to harvest and periodically rocket back to Earth supplies of helium-3, the current clean and abundant fuel used on Earth. There is no direct communication link available between the lunar station and Earth, so his only direct real-time interaction is with GERTY, the intelligent computer whose function is to attend to his day to day needs. With such little human contact and all of it indirect, he feels that three years is far too long to be so isolated; he knows he is beginning to hallucinate as the end of his three years approaches. All he wants is to return to Earth to be with his wife Tess and their infant daughter Eve, who was born just prior to his leaving for this job. With two weeks to go, he gets into an accident at one of the mechanical harvesters and is rendered unconscious. Injured, he ...",Drama Mystery Sci-Fi 
Vantage Point,"https://m.media-amazon.com/images/M/MV5BMTg3MjQ5OTY4M15BMl5BanBnXkFtZTcwNjk1MDU1MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",    The attempted assassination of the American President is told and re-told from several different perspectives.,Thriller,tt0443274,multiple perspectives president shooting explosion secret service ,"    The President of the United States is in Salamanca, Spain, about to address the city in a public square. We see a plain-clothes cop, his girlfriend with another man, a mother and child, an American tourist with a video camera, and a Secret Service agent newly returned from medical leave. Shots ring out and the President falls; a few minutes later, we hear a distant explosion, then a bomb goes off in the square. Those minutes are retold, several times, emphasizing different characters' actions. Gradually, we discover who's behind the plot. Is the Secret Service one step ahead, or have the President's adversaries thought of everything?",Action Crime Drama 
Sabrina,"https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX140_CR0,0,140,209_AL_.jpg","    A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Romance,tt0047437,love one word title voice over narration fashion poodle ,"    Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire with no time for a wife and family. David is all play -- technically employed in the family business but never showing up for work, spending all his time entertaining, and having been married and divorced three times. Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but whom David hardly notices till she goes away to Paris for two years and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds she's captured David's attention, but just as she does so, she finds herself also falling in love with Linus, and she finds that Linus is also falling in love with her.",Comedy Drama Romance 
Carlito's Way,"https://m.media-amazon.com/images/M/MV5BN2I2N2Q1YmMtMzZkMC00Y2JjLWJmOWUtNjc2OTM2ZTk1MjUyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg","    A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Thriller,tt0106519,mafia gangster 1970s outdoor sex woman on top ,"    A Puerto Rican ex-con pledges to stay away from his former drug dealing ways but finds himself being dragged back by his past connections and the naive machinations of his lawyer and best friend. Hoping to raise enough money to get away from New York, Carlito Brigante takes on the job of running a nightclub, renews an affair with a dancer but old associates and old instincts suck him back into a world of violence and mistrust.",Crime Drama Thriller 
Duplicity,"https://m.media-amazon.com/images/M/MV5BMjE2MTg2MzU2NF5BMl5BanBnXkFtZTcwMTMyNjkxMg@@._V1_UY209_CR0,0,140,209_AL_.jpg","    Two ex-government agents turned rival industrial spies have to be at the top of their game when one of their companies prepares to launch a major product. However, they distract each other in more ways than one.",Thriller,tt1135487,spy versus spy frame up product ceo rivalry ,"    Ray works for MI6, Claire for the CIA. She burns him in Dubai. Jump ahead five years: he sees her in Grand Central and confronts her. Both now work in industrial security for corporate giants whose CEOs hate each other. Flashbacks fill us in: is it coincidence that he sees her in Grand Central? In about a week, one of the firms is going to announce a revolutionary product. Under the guise of helping that corporation's rival, can Ray and Claire work their own theft and find an independent buyer? To work together, using the corporate rivalry to their advantage, they would have to trust one another - difficult, if not impossible. Or, is one playing the other?",Comedy Crime Romance 
Anonymous,"https://m.media-amazon.com/images/M/MV5BMjAxOTA5MTMxOV5BMl5BanBnXkFtZTcwNDI4MzU0NQ@@._V1_UY209_CR0,0,140,209_AL_.jpg","    The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.",Thriller,tt1521197,conspiracy theory queen incest 16th century year 1601 ,"    Edward De Vere, Earl of Oxford, is presented as the real author of Shakespeare's works. Edward's life is followed through flashbacks from a young child, through to the end of his life. He is portrayed as a child prodigy who writes and performs A Midsummer Night's Dream for a young Elizabeth I. A series of events sees his plays being performed by a frontman, Shakespeare.",Drama Thriller 
Monty Python and the Holy Grail,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg","    King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Comedy,tt0071853,knight camelot king arthur holy grail arthurian legend ,"    History is turned on its comic head when, in 10th century England, King Arthur travels the countryside to find knights who will join him at the Round Table in Camelot. Gathering up the men is a tale in itself but after a bit of a party at Camelot, many decide to leave only to be stopped by God who sends them on a quest: to find the Holy Grail. After a series of individual adventures, the knights are reunited but must face a wizard named Tim, killer rabbits and lessons in the use of holy hand grenades. Their quest comes to an end however when the police intervene - just what you would expect in a Monty Python movie.",Adventure Comedy Fantasy 
Roman Holiday,"https://m.media-amazon.com/images/M/MV5BMTE2MDM4MTMtZmNkZC00Y2QyLWE0YjUtMTAxZGJmODMxMDM0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR0,0,140,209_AL_.jpg",    A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,Romance,tt0046250,national film registry italy princess american reporter ,"    Joe Bradley is a reporter for the American News Service in Rome, a job he doesn't much like as he would rather work for what he considers a real news agency back in the States. He is on the verge of getting fired when he, sleeping in and getting caught in a lie by his boss Hennessy, misses an interview with HRH Princess Ann, who is on a goodwill tour of Europe, Rome only her latest stop. However, he thinks he may have stumbled upon a huge scoop. Princess Ann has officially called off all her Rome engagements due to illness. In reality, he recognizes the photograph of her as being the young well but simply dressed drunk woman he rescued off the street last night (as he didn't want to turn her into the police for being a vagrant), and who is still in his small studio apartment sleeping off her hangover. What Joe doesn't know is that she is really sleeping off the effects of a sedative given to her by her doctor to calm her down after an anxiety attack, that anxiety because she hates her...",Comedy Romance 
Before Midnight,"https://m.media-amazon.com/images/M/MV5BMjA5NzgxODE2NF5BMl5BanBnXkFtZTcwNTI1NTI0OQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",    We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Drama,tt2209418,hotel writer dinner jealousy chapel ,"    It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.",Drama Romance 
Goodfellas,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg","    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Drama,tt0099685,gangster organized crime sadistic psychopath rise and fall gang violence ,"    Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?",Crime Drama 
The African Queen,"https://m.media-amazon.com/images/M/MV5BOTg0NjY1NTEyMF5BMl5BanBnXkFtZTgwNjUwMTY3MjE@._V1_UX140_CR0,0,140,209_AL_.jpg","    In Africa during World War I, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",War,tt0043265,leech gin drunkard unshaved missionary ,"    September 1914, news reaches the colony German Eastern Africa that Germany is at war, so Reverend Samuel Sayer became a hostile foreigner. German imperial troops burn down his mission; he is beaten and dies of fever. His well-educated, snobbish sister Rose Sayer buries him and leaves by the only available transport, the dilapidated river steamboat 'African Queen' of grumpy Charlie Allnut. As if a long difficult journey without any comfort weren't bad enough for such odd companions, she is determined to find a way to do their bit for the British war effort (and avenge her brother) and aims high, as God is obviously on their side: construct their own equipment, a torpedo and the converted steamboat, to take out a huge German warship, the Louisa, which is hard to find on the giant lake and first of all to reach, in fact as daunting an expedition as anyone attempted since the late adventurous explorer John Speakes, but she presses till Charlie accepts to steam up the Ulana, about to brave...",Adventure Drama Romance 
Spotlight,"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_UY209_CR0,0,140,209_AL_.jpg","    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Crime,tt1895587,investigation sexual abuse child molestation cover up newspaper ,"    When the Boston Globe's tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world.",Crime Drama History 
The Searchers,"https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",    An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,Adventure,tt0049730,navajo indian national film registry afi ambush comanche war party ,"    Ethan Edwards, returned from the Civil War to the Texas ranch of his brother, hopes to find a home with his family and to be near the woman he obviously but secretly loves. But a Comanche raid destroys these plans, and Ethan sets out, along with his 1/8 Indian nephew Martin, on a years-long journey to find the niece kidnapped by the Indians under Chief Scar. But as the quest goes on, Martin begins to realize that his uncle's hatred for the Indians is beginning to spill over onto his now-assimilated niece. Martin becomes uncertain whether Ethan plans to rescue Debbie...or kill her.",Adventure Drama Western 
Interstellar,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Drama,tt0816692,space travel father daughter relationship wormhole black hole saving the world ,"    Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life.",Adventure Drama Sci-Fi 
The Naked Spur,"https://m.media-amazon.com/images/M/MV5BMGYwODI3ZTAtMWRiZC00NjhjLWEzNjYtMDQ0YjJmMWFlYmQ1L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",    A bounty hunter trying to bring a murderer to justice is forced to accept the help of two less-than-trustworthy strangers.,Western,tt0044953,national film registry blackfoot indian grave digging impersonating a sheriff chase ,"    Howard Kemp is a bounty hunter who's been after killer Ben Vandergroat for a long time. Along the way, Kemp is forced to take on a couple of partners, an old prospector named Jesse Tate and a dishonorably discharged Union soldier, Roy Anderson. When they learn that Vandergroat has a $5000 reward on his head, greed starts to take the better of them. Vandergroat takes every advantage of the situation sowing doubt between the two men at every opportunity finally convincing one of them to help him escape.",Thriller Western 
The Usual Suspects,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg","    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Thriller,tt0114814,criminal suspect criminal mastermind dirty cop burying a body ,"    Following a truck hijack in New York, five criminals are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?",Crime Mystery Thriller 
Mr. Brooks,"https://m.media-amazon.com/images/M/MV5BMTQyNTk5MTMxN15BMl5BanBnXkFtZTcwNTc0ODI1NA@@._V1_UY209_CR0,0,140,209_AL_.jpg",    A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,Thriller,tt0780571,murder secret fingerprint female detective schizophrenia ,"    Earl Brooks is a highly respected businessman and was recently named Portland's Man of the Year. He hides a terrible secret however: he is a serial killer known as the Thumbprint Killer. He has been attending AA meetings and has kept his addiction to killing under control for two years now but his alter ego, Marshall, has re-appeared and is pushing him to kill again. When he does kill a couple while they are making love, he is seen and photographed by someone who also has his own death and murder fetish. In a parallel story, the police detective investigating the murder is having problems of her own. She is going through a messy divorce and a violent criminal who had vowed revenge some years before has escaped from prison and is after her.",Crime Drama Thriller 
Snatch,"https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR1,0,140,209_AL_.jpg","    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Comedy,tt0208092,diamond boxer heist narrated by character cockney accent ,"    Turkish and his close friend/accomplice Tommy get pulled into the world of match fixing by the notorious Brick Top. Things get complicated when the boxer they had lined up gets badly beaten by Mickey, a 'pikey' ( slang for an Irish Gypsy)- who comes into the equation after Turkish, an unlicensed boxing promoter wants to buy a caravan off the Irish Gypsies. They then try to convince Mickey not only to fight for them, but to lose for them too. Whilst all this is going on, a huge diamond heist takes place, and a fistful of motley characters enter the story, including 'Cousin Avi', 'Boris The Blade', 'Franky Four Fingers' and 'Bullet Tooth Tony'. Things go from bad to worse as it all becomes about the money, the guns, and the damned dog.",Comedy Crime 
Harry Potter and the Deathly Hallows: Part 2,"https://m.media-amazon.com/images/M/MV5BMjIyZGU4YzUtNDkzYi00ZDRhLTljYzctYTMxMDQ4M2E0Y2YxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX140_CR0,0,140,209_AL_.jpg","    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Adventure,tt1201607,ginny weasley character remus lupin character lucius malfoy character draco malfoy character hermione granger character ,"    Harry, Ron, and Hermione continue their quest of finding and destroying the Dark Lord's three remaining Horcruxes, the magical items responsible for his immortality. But as the mystical Deathly Hallows are uncovered, and Voldemort finds out about their mission, the biggest battle begins and life as they know it will never be the same again.",Adventure Drama Fantasy 
